id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
sa_child_family_health_0068,Nuriootpa,Child and family health centre,health,Corner First and Second Streets,Nuriootpa,SA,5355,-34.44397,139.00789,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0069,Orroroo,Child and family health centre,health,"Community Health Centre, 23 Second Street",Orroroo,SA,5431,-32.27837,138.86895,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0070,Owen,Child and family health centre,health,Primary School,Owen,SA,5460,-34.31243,138.51797,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0071,Padthaway,Child and family health centre,health,"Padthaway Primary School, Vogelsang Road",Padthaway,SA,5271,-36.87936,140.64709,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0072,Paradise,Child and family health centre,health,"IL NIDO Children?s Centre, 22 Campbell Road",Paradise,SA,5075,-34.86133,138.67525,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0073,Penola,Child and family health centre,health,44 Young Street,Penola,SA,5277,-37.40971,140.81827,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0074,Penong,Child and family health centre,health,School/Kindergarten,Penong,SA,5690,-31.98642,133.25248,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0075,Peterborough,Child and family health centre,health,"Uniting Care Wesley Office, Main Street",Peterborough,SA,5422,-32.93984,138.80379,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0076,Pinnaroo,Child and family health centre,health,"St John's Centre, Railway Terrace South",Pinnaroo,SA,5304,-35.42638,140.74476,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0077,Port Adelaide,Child and family health centre,health,253 Commercial Road,Port Adelaide,SA,5015,-34.81911,138.52030,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0078,Port Augusta,Child and family health centre,health,1 Stirling Road,Port Augusta,SA,5700,-32.63480,137.74925,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
